source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
audit_checks,audit_checks,1.0,audit_checks.audit_pk,audit_checks.audit_pk,1.0
audit_checks,audit_checks,1.0,audit_checks.site_fk,audit_checks.site_fk,1.0
audit_checks,audit_checks,1.0,audit_checks.audit_dt,audit_checks.audit_dt,1.0
audit_checks,audit_checks,1.0,audit_checks.auditor,audit_checks.auditor,1.0
audit_checks,audit_checks,1.0,audit_checks.audit_score,audit_checks.audit_score,1.0
event_log,event_log,1.0,event_log.event_pk,event_log.event_pk,1.0
event_log,event_log,1.0,event_log.staff_fk,event_log.staff_fk,1.0
event_log,event_log,1.0,event_log.event_dt,event_log.event_dt,1.0
event_log,event_log,1.0,event_log.event_category,event_log.event_category,1.0
event_log,event_log,1.0,event_log.risk_level,event_log.risk_level,1.0
staff,staff,1.0,staff.staff_pk,staff.staff_pk,1.0
staff,staff,1.0,staff.staff_fullname,staff.staff_fullname,1.0
staff,staff,1.0,staff.unit_fk,staff.unit_fk,1.0
staff,staff,1.0,staff.role_name,staff.role_name,1.0
staff,staff,1.0,staff.joining_date,staff.joining_date,1.0
learning_records,learning_records,0.9981,learning_records.learning_pk,learning_records.learning_pk,1.0
learning_records,learning_records,0.9981,learning_records.staff_fk,learning_records.staff_fk,1.0
learning_records,learning_records,0.9981,learning_records.course_name,learning_records.course_name,1.0
learning_records,learning_records,0.9981,learning_records.course_dt,learning_records.course_dt,1.0
learning_records,learning_records,0.9981,learning_records.completion_status,learning_records.completion_status,0.9906
site_master,site_master,0.9851,site_master.site_pk,site_master.site_pk,1.0
site_master,site_master,0.9851,site_master.site_title,site_master.site_title,1.0
site_master,site_master,0.9851,site_master.nation,site_master.nation,0.9563
site_master,site_master,0.9851,site_master.region,site_master.region,0.9691
site_master,site_master,0.9851,site_master.created_on,site_master.created_on,1.0
org_units,org_units,0.9758,org_units.unit_pk,org_units.unit_pk,1.0
org_units,org_units,0.9758,org_units.unit_title,org_units.unit_title,0.9473
org_units,org_units,0.9758,org_units.site_fk,org_units.site_fk,1.0
org_units,org_units,0.9758,org_units.unit_head,org_units.unit_head,0.9315
org_units,org_units,0.9758,org_units.created_on,org_units.created_on,1.0
