source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
action_tracker,corrective_actions,0.9421,action_tracker.action_id,corrective_actions.action_ref,0.9597
action_tracker,corrective_actions,0.9421,action_tracker.incident_id,corrective_actions.action_ref,0.9037
action_tracker,corrective_actions,0.9421,action_tracker.action_item,corrective_actions.corrective_step,0.9692
action_tracker,corrective_actions,0.9421,action_tracker.owner,corrective_actions.responsible_person,1.0
action_tracker,corrective_actions,0.9421,action_tracker.due_date,corrective_actions.target_date,0.9575
action_tracker,corrective_actions,0.9421,action_tracker.action_status,corrective_actions.responsible_person,0.8625
trainings,employee_info,0.8108,trainings.training_id,safety_courses.course_id,0.75
trainings,employee_info,0.8108,trainings.employee_id,employee_info.emp_code,0.75
trainings,employee_info,0.8108,trainings.training_title,employee_info.designation,0.7254
trainings,employee_info,0.8108,trainings.completion_date,corrective_actions.target_date,0.8395
trainings,employee_info,0.8108,trainings.status,corrective_actions.status,0.989
risk_register,hazard_assessment,0.7392,risk_register.risk_id,hazard_assessment.hazard_id,0.75
risk_register,hazard_assessment,0.7392,risk_register.assessment_date,hazard_assessment.eval_date,0.75
risk_register,hazard_assessment,0.7392,risk_register.hazard_type,hazard_assessment.hazard_category,0.7123
risk_register,hazard_assessment,0.7392,risk_register.hazard_description,hazard_assessment.hazard_desc,0.75
risk_register,hazard_assessment,0.7392,risk_register.risk_rating,hazard_assessment.hazard_id,0.7338
employees,employee_info,0.7365,employees.employee_id,employee_info.emp_code,0.75
employees,employee_info,0.7365,employees.full_name,employee_info.emp_name,0.7362
employees,employee_info,0.7365,employees.department,employee_info.dept,0.7257
employees,employee_info,0.7365,employees.job_title,employee_info.dept,0.7205
employees,employee_info,0.7365,employees.email,employee_info.email_address,0.75
incidents,incident_master,0.7362,incidents.incident_id,incident_master.inc_id,0.7456
incidents,incident_master,0.7362,incidents.incident_date,incident_master.inc_date,0.75
incidents,incident_master,0.7362,incidents.incident_category,hazard_assessment.hazard_category,0.75
incidents,incident_master,0.7362,incidents.site_location,incident_master.plant_location,0.718
incidents,incident_master,0.7362,incidents.severity,incident_master.risk_level,0.7147
incidents,incident_master,0.7362,incidents.description,incident_master.inc_details,0.75
incidents,incident_master,0.7362,incidents.reported_by,incident_master.created_by,0.7252
